"Job","Panel","Start time","End time","Time","EndTo1st","EndTo1stEnd","EndTo2nd","EndTo2ndEnd","EndTo3rd","EndTo3rdEnd"
"","1","2024-07-02 04:51:07","2024-07-02 04:51:40","33"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:51:43","2024-07-02 04:51:43","00:00:00","3","3","","","",""
"","1","2024-07-02 04:51:43","2024-07-02 04:51:43","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:51:47","2024-07-02 04:52:14","00:00:27","4","31","","","",""
"","1","2024-07-02 04:51:47","2024-07-02 04:52:14","27"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 04:52:23","2024-07-02 04:52:45","00:00:22","9","9","31","31","",""
"","1","2024-07-02 04:52:23","2024-07-02 04:52:23","0"
"","2","2024-07-02 04:52:45","2024-07-02 04:52:45","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:52:21","2024-07-02 04:52:48","00:00:27","-24","3","","","",""
"","1","2024-07-02 04:52:21","2024-07-02 04:52:48","27"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 04:53:09","2024-07-02 04:53:43","00:00:34","21","21","55","55","",""
"","1","2024-07-02 04:53:09","2024-07-02 04:53:09","0"
"","2","2024-07-02 04:53:43","2024-07-02 04:53:43","0"
"ECH3ESN00003 T&B T A1-LCR","3","2024-07-02 04:53:26","2024-07-02 04:56:07","00:02:41","-17","10","83","110","118","144"
"","1","2024-07-02 04:53:26","2024-07-02 04:53:53","27"
"","2","2024-07-02 04:55:06","2024-07-02 04:55:33","27"
"","3","2024-07-02 04:55:41","2024-07-02 04:56:07","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:56:17","2024-07-02 04:56:17","00:00:00","10","10","","","",""
"","1","2024-07-02 04:56:17","2024-07-02 04:56:17","0"
"ECH3ESN00003 T&B T A1-LCR","2","2024-07-02 04:56:14","2024-07-02 04:57:20","00:01:06","-3","24","31","63","",""
"","1","2024-07-02 04:56:14","2024-07-02 04:56:41","27"
"","2","2024-07-02 04:56:48","2024-07-02 04:57:20","32"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:57:29","2024-07-02 04:57:29","00:00:00","9","9","","","",""
"","1","2024-07-02 04:57:29","2024-07-02 04:57:29","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:57:27","2024-07-02 04:57:55","00:00:28","-2","26","","","",""
"","1","2024-07-02 04:57:27","2024-07-02 04:57:55","28"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 04:58:04","2024-07-02 04:58:25","00:00:21","9","9","30","30","",""
"","1","2024-07-02 04:58:04","2024-07-02 04:58:04","0"
"","2","2024-07-02 04:58:25","2024-07-02 04:58:25","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:58:09","2024-07-02 04:58:36","00:00:27","-16","11","","","",""
"","1","2024-07-02 04:58:09","2024-07-02 04:58:36","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:58:56","2024-07-02 04:58:56","00:00:00","20","20","","","",""
"","1","2024-07-02 04:58:56","2024-07-02 04:58:56","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:58:43","2024-07-02 04:59:12","00:00:29","-13","16","","","",""
"","1","2024-07-02 04:58:43","2024-07-02 04:59:12","29"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:59:26","2024-07-02 04:59:26","00:00:00","14","14","","","",""
"","1","2024-07-02 04:59:26","2024-07-02 04:59:26","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:59:18","2024-07-02 04:59:45","00:00:27","-8","19","","","",""
"","1","2024-07-02 04:59:18","2024-07-02 04:59:45","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:59:57","2024-07-02 04:59:57","00:00:00","12","12","","","",""
"","1","2024-07-02 04:59:57","2024-07-02 04:59:57","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:59:52","2024-07-02 05:00:18","00:00:26","-5","21","","","",""
"","1","2024-07-02 04:59:52","2024-07-02 05:00:18","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 05:00:34","2024-07-02 05:00:35","00:00:01","16","17","","","",""
"","1","2024-07-02 05:00:34","2024-07-02 05:00:35","1"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 05:00:25","2024-07-02 05:00:52","00:00:27","-10","17","","","",""
"","1","2024-07-02 05:00:25","2024-07-02 05:00:52","27"
"ECH3ESN00003 T&B B A1-LCR","3","2024-07-02 05:00:56","2024-07-02 05:01:54","00:00:58","4","4","26","26","62","62"
"","1","2024-07-02 05:00:56","2024-07-02 05:00:56","0"
"","2","2024-07-02 05:01:18","2024-07-02 05:01:18","0"
"","3","2024-07-02 05:01:54","2024-07-02 05:01:54","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 05:01:40","2024-07-02 05:02:14","00:00:34","-14","20","","","",""
"","1","2024-07-02 05:01:40","2024-07-02 05:02:14","34"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 05:02:29","2024-07-02 05:02:30","00:00:01","15","16","","","",""
"","1","2024-07-02 05:02:29","2024-07-02 05:02:30","1"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 05:02:20","2024-07-02 05:02:48","00:00:28","-10","18","","","",""
"","1","2024-07-02 05:02:20","2024-07-02 05:02:48","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 05:03:13","2024-07-02 05:03:13","00:00:00","25","25","","","",""
"","1","2024-07-02 05:03:13","2024-07-02 05:03:13","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 05:02:59","2024-07-02 05:03:26","00:00:27","-14","13","","","",""
"","1","2024-07-02 05:02:59","2024-07-02 05:03:26","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 05:03:52","2024-07-02 05:03:52","00:00:00","26","26","","","",""
"","1","2024-07-02 05:03:52","2024-07-02 05:03:52","0"
